年份,省份,城市,省份代码,城市代码,所属地域,胡焕庸线,地区生产总值(万元),第一产业增加值(万元),第二产业增加值(万元),第三产业增加值(万元),第一产业增加值占GDP比重(%),第二产业增加值占GDP比重(%),第三产业增加值占GDP比重(%),人均地区生产总值(元),户籍人口(万人),城镇户籍人口(万人),非农业人口数(万人),年平均人口(万人),年末总户数(万户),出生人口(人),死亡人口(人),自然增长率(‰),常住人口(万人),城镇常住人口(万人),常住人口城镇化率(%),城镇非私营单位从业人员数(万人),城镇私营和个体从业人员数(人),年末城镇登记失业人员数(人),第一产业从业人员数(万人),第二产业从业人员数(万人),第三产业从业人员数(万人),第一产业从业人员比重(%),第二产业从业人员比重(%),第三产业从业人员比重(%),农林牧渔业从业人员数(万人),采掘业从业人员数(万人),制造业从业人员数(万人),电力煤气及水生产供应业从业人员数(万人),建筑业从业人员数(万人),交通仓储邮电业从业人员数(万人),信息传输、计算机服务和软件业从业人员数(万人),批发零售贸易业从业人员数(万人),住宿餐饮业从业人员数(万人),金融业从业人员数(万人),房地产业从业人员数(万人),租赁和商业服务业从业人员数(万人),科研、技术服务和地质勘查业从业人员数(万人),水利、环境和公共设施管理业从业人员数(万人),居民服务和其他服务业从业人员数(万人),教育业从业人员数(万人),卫生、社会保险和社会福利业从业人员数(万人),文化、体育和娱乐业从业人员数(万人),公共管理和社会组织从业人员数(万人),地质勘察水利管理业从业人数(万人),交通仓储邮电通信业从业人员数(万人),批发零售贸易餐饮业从业人员数(万人),社会服务业从业人员数(万人),卫生体育社会福利业从业人员数(万人),教育文艺广播影视业从业人员数(万人),科研综合技术服务业从业人员数(万人),机关和社会团体从业人员数(万人),城镇非私营单位在岗职工平均人数(万人),城镇非私营单位在岗职工工资总额(万元),城镇非私营单位在岗职工平均工资(元),行政区域土地面积(平方公里),年末耕地总资源(千公顷),人均占有耕地面积(亩),人口密度(人／平方公里),水资源总量(万立方米),用水总量(亿立方米),地区生产总值增长率(%),规模以上服务业营业收入(万元),规模以上服务业营业收入增速(%),粮食产量(万吨),油料产量(万吨),棉花产量(万吨),蔬菜产量(吨),水果产量(吨),肉类产量(吨),奶类产量(吨),水产品产量(吨),禽蛋产量(吨),规模以上工业企业数(个),内资企业数(个),港、澳、台商投资企业数(个),外商投资企业数(个),规模以上工业总产值(当年价)(万元),内资企业工业总产值(万元),港、澳、台商投资企业工业总产值(万元),外商投资企业工业总产值(万元),从业人员年平均人数(万人),规模以上工业企业产品销售收入(万元),规模以上工业企业利税总额(万元),本年应交增值税(万元),规模以上工业企业利润总额(万元),流动资产年平均余额(万元),固定资产净值年平均余额(万元),规模以上工业企业资产总计(万元),规模以上工业企业流动资产合计(万元),规模以上工业企业固定资产合计(万元),规模以上工业企业主营业务税金及附加(万元),规模以上工业营业收入(万元),规模以上工业营业收入增速(%),固定资产投资总额(万元),房地产开发投资完成额(万元),住宅开发投资完成额(万元),社会消费品零售总额(万元),限额以上单位商品零售额(万元),限额以上批发零售业商品销售总额(万元),限额以上批发零售业法人企业数(个),当年新签项目(合同)个数(个),当年合同外资金额(万美元),当年实际使用外资金额(万美元),货物进口额(万元),货物出口额(万元),地方财政一般预算内收入(万元),工商税收(万元),地方财政一般预算内支出(万元),科学支出(万元),教育支出(万元),年末金融机构各项贷款余额(万元),年末金融机构存款余额(万元),城乡居民储蓄年末余额(万元),普通高等学校学校数(所),普通中学学校数(所),小学学校数(所),中等职业教育学校数(所),普通高等学校专任教师数(人),普通中学专任教师数(人),小学专任教师数(人),中等职业教育学校专任教师数(人),普通高等学校在校学生数(人),普通中学在校学生数(万人),小学在校学生数(万人),高中阶段在校学生数(人),初中阶段学生数(万人),普通高中学生数(万人),学前教育学生数(人),中等职业教育学校在校学生数(人),成人高等学校在校学生数(人),每万人在校大学生数(人),每万人在校中等职业学生数(人),R&D人员(人),R&D内部经费支出(万元),专利申请数(件),专利授权数(件),发明专利授权数(件),高新技术企业数(国家级)(个),技术合同成交额(万元),公共图书馆(个),剧场、影剧院数(个),公共图书馆图书总藏量(千册、件),每百人公共图书馆藏书(册、件),博物馆数(个),体育场馆数(个),卫生机构数(个),医院、卫生院数(个),医院、卫生院床位数(张),执业(助理)医师数(人),客运总量(万人),铁路旅客运量(万人),公路客运量(万人),水运客运量(万人),民用航空客运量(人),城市公共交通客运总量(万人次),客运量(公路+水路)(万人次),货运总量(万吨),铁路货物运量(万吨),公路货运量(万吨),水运货运量(万吨),民用航空货邮运量(吨),货运量(公路+水路)(万吨),年末邮政局(所)数(处),邮政业务收入(万元),电信业务收入(万元),本地电话年末用户数(万户),移动电话年末用户数(万户),国际互联网用户数(户),全年用电量(万千瓦时),工业用电(万千瓦时),城乡居民生活用电量(万千瓦时),城镇居民生活用电量(万千瓦时),境内公路总里程(公里),高速公路里程(公里),工业废水排放量(万吨),工业废水排放达标量(万吨),工业二氧化硫去除量(吨),工业二氧化硫排放量(吨),工业烟尘去除量(吨),工业烟尘排放量(吨),工业二氧化硫产生量(吨),工业烟粉尘去除量(吨),工业烟粉尘排放量(吨),工业氮氧化物排放量(吨),工业颗粒物排放量(吨),工业化学需氧量排放量(吨),工业氨氮排放量(吨),生活污水处理率(%),生活垃圾无害化处理率(%),工业固体废物综合利用率(%),一般工业固体废物综合利用率(%),污水处理厂集中处理率(%),细颗粒物(PM2.5)年平均浓度(微克/立方米),空气质量优良天数比例(%),保险业承保额(万元),城镇职工基本养老保险参保人数(人),职工基本医疗保险参保人数(人),失业保险参保人数(人),提供住宿的社会工作机构数(个),养老机构数(个),提供住宿的社会工作机构床位数(张),养老机构床位数(张),
1991,黑龙江省,佳木斯市,230000,230800,中部,东南侧,328900,62600,145800,120500,19.033,44.33,36.637,1709,193.3,,82.42,192.48,,,,6.1,,,,,,,29.71,27.48,25.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105819,,31046,778.667,,62,,,,,,134,0.136,,200000,1556,,,16013,18021,,,,,,,,,,378218,33734,,,,,,,,,,,82258,,,221179,,,,10,317,469,,,40749,30887,60378,,,,,,4,237,1223,,938,8496,13336,,5917,11.24,23.21,,,,,,2535,,,,,,,,,,7,21,459,,,,760,,,4705,1587,608,913,66,4231,,,1587,279,1225,83,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988798,,,,,,,,
1992,黑龙江省,佳木斯市,230000,230800,中部,东南侧,440700,,,,,,,,194.47,,83.66,,,,,5.5,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,152,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91527,,,254901,,,,,,,,,38764,,46648,,8047,,,,,235,1685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1556,,,,,,,1642,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1862221,,,,,,,,
1993,黑龙江省,佳木斯市,230000,230800,中部,东南侧,533400,,,,,,,,183.25,,81.73,,,,,4.7,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24465,633,,75,,,,,,152.3,0.6,,210000,2916,,,11485,35200,,,,,,,,,,,,,,,,,,,,,,99265,,,227729,,591968,,,,,,,46103,,60472,,8468,,,,4,224,1107,,,,,,6744,11.23,20.3,,,,,,,,,,,,,,,,6,25,540,,,,541,,,4522,1234,,,,,,,1533,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941280,,,,,,,,
1994,黑龙江省,佳木斯市,230000,230800,中部,东南侧,766691,255353,228316,283022,33.306,29.779,36.915,,227.92,,95.94,,,,,6.2,,,,92,,,36,26.58,29.72,39,29,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176013,3230,32653,889,,69,,,,,,223.9,0.4,,227000,2000,,,22000,37568,,,,,,,,,,528727,-12095,,,616275,412061,,,,,,,130127,,,328589,,479232,,,,777,,,,,,,,,,,,211,1537,,977,10383,15138,,6199,13.84,25.29,,,,,,,,,,,,,,,,7,,575,,,,,,,5507,1477,726,,,,,,1717,417,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1415371,,,,,,,,
1995,黑龙江省,佳木斯市,230000,230800,中部,东南侧,954429,335959,273921,344549,35.2,28.7,36.1,,230.78,,99.19,,,,,5.7,,,,94,,,36.08,27.04,31.09,38,29,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183096,3691,32708,910,6,71,,,9.1,,,199.8,0.656,,370000,3747,,,18900,,,,,,,,,,,713452,13733,29832,,594763,558882,,,,,,,139982,18918,,421218,,,,36,4501,1096,,,,,,,,,,,,207,1490,,937,10677,14978,,7773,14.14,24.96,,,,,,,,,,,,,,,,7,,579,,,,,,,5280,1554,673,,,,,,1748,440,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1748863,,,,,,,,
1996,黑龙江省,佳木斯市,230000,230800,中部,东南侧,1093056,404431,274357,414268,37,25.1,37.9,,233.9,,100.64,,,,,8.5,,,,97,,,43.52,23.84,29.56,45,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191670,3949,32708,941,6,72,,,10,,,247.4,0.082,,290000,4082,,,23000,,,,,,,,,,,688616,7471,28692,,655826,623034,,,,,,,124960,9315,,486298,,,,25,2920,670,,,,,,,,,,,,221,1480,,940,10540,15052,,8521,14,25,,,,,,,,,,,,,,,,7,,589,,,,,,,5568,1553,520,,,,,,1996,353,,,,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1933000,,,,,,,,
1997,黑龙江省,佳木斯市,230000,230800,中部,东南侧,1192162,464824,264302,463036,38.99,22.17,38.84,,234.88,,102.2,,,,,5.3,,,,99,,,44.3,24.13,30.46,45,24,31,44,2,16,2,4,,,,,1,0,,,,,,,,,0,3,12,3,2,3,0,3,47,187650,3955,32704,947,6,72,,,8.3,,,272.1,0.513,,310000,4052,,,27900,,,,,,,,,,,688616,19423,46928,,688616,623034,,,,,,,142068,9883,,539790,,765519,,20,5059,990,,,,,,,,,,,1,215,1339,,974,9075,15571,,8775,11.63,25.18,,,,,,,,,,,,,,,,,10,606,26,,,,,,5827,1559,502,1031,,,,,1642,416,1137,,,,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3244000,,,,,,,,
1998,黑龙江省,佳木斯市,230000,230800,中部,东南侧,1303800,470672,295963,537166,36.1,22.7,41.2,,236.5,,103.11,,,,,5,,,,56,,,10.04,18.52,27.22,18,33,49,10,1,12,2,3,,,,,1,0,,,,,,,,,0,3,11,3,2,3,0,3,38,190927,4989,32704,984,6,72,,,10,,,254.9,1.194,,347356,4416,,,31800,,,,,,,,,,,738610,28494,45569,,678617,613034,,,,,,,174109,14741,,603628,,833627,,19,3108,1345,,,,,,,,,,,1,206,1333,,975,8941,15122,,9230,12.8,23.6,,,,,,,,,,,,,,,,,10,620,26,,,,173,8684,6284,2089,605,1454,,,,,1624,290,1251,,,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3573000,,,,,,,,
1999,黑龙江省,佳木斯市,230000,230800,中部,东南侧,1327702,416898,317321,593483,31.4,23.9,44.7,,237.85,,104.56,,,,,3.9,,,,37,,21113,9.87,11.82,15.17,27,32,41,10,1,7,1,2,,,,,1,0,,,,,,,,,0,2,3,1,1,3,0,3,36,204141,5655,32704,984,6,73,,,7.2,,,285.1,1.9,,387160,4046,,,36000,,222,,,,571138,482624,21767,66747,,503679,20995,38832,,686617,739369,,,,,,,243532,27242,,663991,,791952,,117,4400,1520,,,47500,,134700,,,,,,1,202,1246,,1014,8905,14753,,11198,13,22,,,,,,,,,,,,,,,,,10,632,27,,,,,,5591,2151,647,1483,,,,,1789,367,1344,,,,315,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3222000,,,,,,,,
2000,黑龙江省,佳木斯市,230000,230800,中部,东南侧,1464021,436278,396750,629529,29.8,27.1,43,,239.34,,107.07,,,,,5.8,,,,48,,21304,12.82,12.91,22.15,27,27,46,13,2,7,3,2,,,,,1,0,,,,,,,,,0,2,7,3,1,3,0,3,29,183727,6292,32704,960,6,73,,,9.1,,,220,1.79,,678590,4687,111915,17420,40000,,219,,,,624824,526060,23953,74811,11,517801,78483,52326,,865024,723213,,,,,,,327914,50410,,625000,,852140,,10,399,1200,,,50800,,134400,,,,,1358100,1,198,1111,,1029,8873,14034,,13449,13.9,20.68,,,,,,,,,,,,,,,,,24,653,27,,,665,174,8231,5500,2110,648,1436,,,,,1820,382,1368,,,,317,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3514000,,,,,,,,
2001,黑龙江省,佳木斯市,230000,230800,中部,东南侧,1642411,471372,445422,725453,28.7,27.12,44.17,6843,240.68,,107.71,240.01,,,,5.7,,,,37,,15028,7.82,11.54,17.42,21,31,47,8,1,7,2,2,,,,,1,0,,,,,,,,,0,3,2,3,1,3,0,3,29,191726,6589,32704,960,6,74,,,,,,259.91,1.61,,789564,4986,112125,15598,40345,,217,,,,662316,556026,25869,80421,11,526807,22585,35467,,683211,835121,,,,,,,373822,72121,,677600,,851101,54,11,260,900,,,57300,,180500,,,,,1507900,1,195,1068,,1531,9338,13889,,16112,13.56,20.4,,,,,,,,,,,,,,,,7,24,628,26,,,229,154,7869,5592,2132,607,1502,21,15884,,,2040,436,1435,169,136,,317,14720,34528,46,39,42981,,,,,,,,,,,,,,,,,,,,,,,,,,,1462833,,,,,,,,
2002,黑龙江省,佳木斯市,230000,230800,中部,东南侧,1847101,495208,517742,834151,26.81,28.03,45.16,7582,243.62,,109.16,,,,,4.2,,,,37,207722,19904,7.89,11.32,17.97,21,30,48,8,1,7,2,2,,,,,1,0,,,,,,,,,0,3,3,3,1,3,0,3,27,187891,7011,32704,1239,8,74,,,12,,,201.7,2.67,,1223885,4756,137128,23272,42000,,210,,,,748417,628670,24870,94877,11,643638,64674,58461,,663206,737121,,,,,,,355131,69960,61026,724280,,881905,57,22,463,117,,,56200,,203200,,,,,1678000,1,196,1050,,1427,9550,13862,,20256,12.94,20.61,,,,,,,,,,,,,,,,7,24,577,24,,,2122,151,8024,4190,2169,638,1510,20,14668,,,2095,454,1530,111,111,,308,15750,38538,41,36,74089,,,,,,,,,,,,,,,,,,,,,9,,,,,,1380824,,,,,,,,
2003,黑龙江省,佳木斯市,230000,230800,中部,东南侧,2008599,539309,570040,899049,26.85,28.38,44.76,8226,244.73,,115.33,,,,,3.6,,,,34,217592,40545,6.8,10.11,16.86,20,30,50,7,1,5,2,2,3,0,3,0,1,1,0,0,0,0,3,1,1,3,,,,,,,,,22,197946,9088,32704,1228,8,75,,,8.2,,,195.9,3.17,,1164187,4956,132744,27926,42650,,207,201,3,3,644231,579295,19122,45814,9,726162,134631,51979,,493138,756972,,,,,,,352078,59392,39049,728024,,315011,50,12,566,137,,,56191,,219179,364,44762,2186705,2332720,1887472,2,198,1011,,1517,9909,13951,,25959,16,21,,,,,,,,,,,,,,,,7,24,598,24,,,639,153,6917,4512,1987,522,1447,15,29970,,,2109,512,1505,92,170,,205,16747,41719,62,61,,,,,,,,7734,7431,0,23423,842491,52833,,,,,,,,0,15,58,,,,,,,,,,,,,
2004,黑龙江省,佳木斯市,230000,230800,中部,东南侧,2362956,687620,657611,1017961,29.1,27.83,43.08,9605,247.31,,121.56,,,,,7.4,,,,33,110084,17700,6.3,9.81,16.53,19,30,51,6,1,5,2,2,3,0,2,0,1,1,0,0,0,0,3,1,1,3,,,,,,,,,22,230208,10560,32704,1230,7,76,,,11.8,,,284.3,3.5,,814931,4659,172365,47474,43820,,197,191,6,,764431,742109,22322,,9,715037,-4575,33295,,513595,589943,,,,,,,367624,58296,38806,808468,,351552,71,10,577,209,,,46135,,248897,519,52503,2043950,2582316,2075799,2,190,856,,1632,9921,13759,,25001,16,21,,,,,,,,,,,,,,,,7,24,629,25,,,714,152,6886,4382,2537,563,1958,11,48577,,,2811,778,1952,81,265,,206,18704,96296,54,70,,,,,,,,7507,7196,9,23524,876313,52836,,,,,,,,,,62,,,,,,,,,,,,,
2005,黑龙江省,佳木斯市,230000,230800,中部,东南侧,2415433,750958,480671,1183804,31.09,19.9,49.01,9812,245.03,,122.44,,,,,3.4,,,,31,132846,19235,6.04,8.31,16.8,19,27,54,6,1,4,2,1,3,0,3,0,1,0,0,0,0,1,3,1,1,3,,,,,,,,,20,220893,11293,32704,1233,8,75,,,12.8,,,311.7,5,,847847,5436,182800,44089,50000,,202,196,3,3,903518,807990,14371,81157,5,907646,,35348,8492,502975,527771,,,,,,,453812,65840,24339,915999,,398493,48,16,724,175,,,54437,,309793,805,59787,1928828,3074803,2474688,2,189,669,,1517,9736,12484,,25331,11.1,20.09,,,,,,,,,,,,,,,,7,24,600,24,,,708,151,6609,4819,2066,552,1493,15,57126,,,2505,820,1589,96,320,,205,19402,105000,60,86,146000,,,,,,,5188,4721,10,39868,719015,43429,,,,,,,,,,61,,,,,,,,,,,,,
2006,黑龙江省,佳木斯市,230000,230800,中部,东南侧,2785370,856780,562923,1365388,30.76,20.21,49.02,11295,248.19,,122.85,,,,,5.5,,,,31,150561,20734,5.93,8.15,16.49,19,27,54,6,1,4,2,1,2,0,2,0,1,0,0,0,0,1,3,1,1,3,,,,,,,,,19,244431,12731,32704,1489,9,76,,,13.2,,,350.4,5.5,,875340,5538,236595,53550,56907,,222,214,2,6,1102118,957499,23578,121041,6,1088931,,42457,23136,557892,547640,,,,,,,674617,115508,91859,1052737,,412462,36,16,3235,1726,,,86649,,421573,648,82120,1915938,3270356,2595579,2,180,567,,1410,9700,12533,,27619,14.1,19.59,,,,,,,,,,,,,,,,7,24,728,29,,,740,212,8042,4887,2895,641,2238,10,53765,,,3075,581,2424,70,201,,205,23000,118000,57,123,122000,,,,,,,3960,3307,8,40740,7775508,55545,,,,,,,,5,63,80,,,,,,,,,,,,,
2007,黑龙江省,佳木斯市,230000,230800,中部,东南侧,3368924,1027859,702084,1638982,30.51,20.84,48.65,13690,250.53,,123.64,,,,,5.1,,,,32,169825,20135,8.3,7.07,16.29,26,22,51,8,0,5,1,1,2,0,2,0,1,0,0,0,1,1,3,1,0,3,,,,,,,,,19,278750,14906,32704,1522,,77,,,14.3,,,361.16,4.32,,1102778,8229,280922,79252,58892,,214,201,4,9,1288510,1100764,30087,157659,5,1248762,,44463,47367,668905,575941,,,,,,,888148,143561,103184,1204000,,446067,35,32,56691,2579,,,85251,,548221,2637,107584,1781020,3606653,2681682,2,167,509,,1649,11702,14432,,27453,13.92,19.59,,,,,,,,,,,,,,,,7,24,713,28,,,631,218,9452,4153,3072,630,2423,10,86000,,,3413,895,2451,67,416,,205,23000,123000,78,140,182000,,,,,,,3511,2970,7,35187,6220407,49469,,,,,,,,48,84,72,,,,,,,,,,,,,
2008,黑龙江省,佳木斯市,230000,230800,中部,东南侧,3985000,1260854,828880,1894868,31.64,20.8,47.55,15871,251.64,,124.04,,,,,5,,,,29,185694,19125,8.73,6.15,14.5,30,21,49,9,0,4,1,1,1,0,2,0,1,0,0,0,1,1,3,1,0,3,,,,,,,,,16,339745,21877,32704,,,77,,,15.9,,,452.18,3.4,,1051713,10259,269128,96266,40892,,232,219,4,9,1700568,1397727,34024,268817,5,1656842,,47215,58889,771555,615941,,,,,,,1131045,171266,134459,1475142,,665002,47,35,,4700,,,110014,,706831,3400,138744,2158020,4533353,3409683,2,165,449,,1410,9829,12713,,28940,14.22,19.7,42763,,,,,,,,,,,,,,,7,24,715,28,,,640,218,8734,4442,3252,643,2583,14,111000,,,3383,708,2610,65,245,,205,26000,140000,67,167,213000,,,,,,,3361,2746,6,33088,5038529,45573,,,,,,,,60,85,82,,,,,,,,,,,,,
2009,黑龙江省,佳木斯市,230000,230800,中部,东南侧,4326603,1451143,924162,1951298,33.54,21.36,45.1,17172,252.26,,,251.95,,,,4.3,,,,28,212280,24045,9.32,5.12,13.91,33,18,49,9,0,2,1,2,1,0,2,0,1,0,0,0,1,1,3,1,0,3,,,,,,,,,16,382672,23220,32704,,,77,,,14.1,,,476.11,1.41,,679900,5112,241000,104600,41528,,277,258,6,13,2148142,1642339,47869,457934,4,,,58148,145676,,,,990201,1234735,,,,1709370,260638,198966,1780850,,684476,48,,,5128,,,145400,,884835,3300,150700,2808584,5439654,3937009,2,151,425,,1419,9998,12836,,32472,10.8,18.72,44467,,,,13189,14500,129,,,,,,,,,7,15,734,29,,,670,251,9550,4991,3094,471,2591,15,166000,,,3251,284,2897,70,518,,205,29826,228000,41,177,176342,,,,,,,3276,3057,,33770,631570,21801,,,,,,,,67,47,81,,,,,,,,,,,,,
2010,黑龙江省,佳木斯市,230000,230800,中部,东南侧,5124563,1464600,1339048,2321427,28.58,26.13,45.3,20254,253.78,,,253.02,,,,2.6,,,,28,221280,20083,9.56,4.6,13.47,35,17,49,10,0,2,1,2,1,0,1,0,1,0,0,0,1,1,3,1,0,3,,,,,,,,,16,420363,27033,32704,,,78,,,18.9,,,575.6,1.97,,577500,8422,262100,115100,44669,69500,321,301,6,14,3139380,2544090,41750,553540,5,,,83923,352902,,,,1367340,1586399,,,,2692022,582021,468387,2168017,,738693,47,45,,11300,,,208509,,1218078,4213,165208,3422552,6310540,4432124,3,153,390,,1419,10127,12811,,30706,10.83,18.7,46059,,,,11487,14200,121,,,,,,,,,7,15,734,29,,,662,253,10224,5087,3466,506,2918,23,192000,,,3355,320,2905,130,1053,,205,27028,250000,41,205,219000,,,,,,,3185,2989,2719,37268,757180,15900,,,,,,,,67,47,70,,,,,,,,,,,,,
2011,黑龙江省,佳木斯市,230000,230800,中部,东南侧,6253089,1892185,1662071,2698833,30.26,26.58,43.16,24853,250.5,,,252.2,,,,0.3,,,,28,228208,15936,9.61,4.36,13.79,35,16,50,10,0,2,1,2,1,0,1,0,1,0,0,0,1,0,3,1,0,3,,,,,,,,,17,527433,30470,32704,,,77,,,14.2,,,730,0.72,,828400,11097,296900,132800,43330,74200,293,277,4,12,3934216,3292189,43254,598773,,,,93546,276714,,,,1649223,2001626,16108,,,2933306,695764,534511,2454704,,870181,47,26,,15080,,,314795,,1422991,6130,225941,4437908,7017668,4880699,7,145,304,20,2019,11588,11724,931,31593,15.06,18.75,47072,,,,10387,14725,126,41,,,,,,,,7,15,734,29,,,672,198,11156,5557,3455,512,2904,17,210000,,,3324,315,2899,110,758,,205,18000,150000,42,220,260000,,,,,,,1319,,,14434,,,18484,1380900,38347,,,,,,100,80,,59,,,,237766,380241,189410,,,,,
2012,黑龙江省,佳木斯市,230000,230800,中部,东南侧,6682943,2017580,1724868,2941163,30.19,25.81,44.01,27774,239.3,,,240.5,,,,-2.9,,,,23,202290,18692,8.32,3.42,11.1,33,15,52,8,0,1,1,1,1,0,1,0,1,0,0,0,1,0,2,1,0,3,,,,,,,,,16,591800,38181,32704,,,73,,,13.8,,,947.9,0.47,,838000,6046,366000,143700,45031,77200,306,293,2,11,5064872,4476172,14876,573824,,,,120219,320620,,,,1826647,2083513,21897,,,3690400,770615,594216,2774298,,778125,50,44,,6678,,,379453,,1606535,11706,323067,5372710,8058552,5452124,3,120,268,17,2045,9167,10933,869,43905,12.05,17.03,39706,,,,9679,12490,183,40,,,,,,,,7,15,471,20,,,731,174,10955,3695,3981,707,3121,121,320000,,,4150,735,3139,276,700,,205,18000,164000,41,232,300000,,,,,,,1270,,,13045,,,20111,1366793,34977,,,,,,100,,81,88,,,,241318,939300,186199,,,,,
2013,黑龙江省,佳木斯市,230000,230800,中部,东南侧,7921480,2648943,1965319,3307218,33.44,24.81,41.75,32733,242.1,,,245.1,,,,-1.2,,,,18,219184,19919,2.1,5.43,10.85,11,30,59,2,0,2,1,3,1,0,1,0,1,0,0,0,1,0,2,1,0,3,,,,,,,,,18,658423,36019,32704,,,74,,,18.53,,,736.12,0.22,,740000,5600,376100,146100,50000,80000,365,352,3,10,6230082,5710403,27810,491869,,,,129683,354556,,,,1897977,1993976,25999,,,4863400,692423,460099,3260246,,1099394,50,43,,21000,,,434731,,1993135,6277,320383,6157045,9223090,6211963,3,115,223,16,2042,8528,9625,707,44935,8.98,10.42,36169,,,,7308,15454,149,30,,,,,,,,6,15,471,19,,,784,168,11758,5192,3915,592,3173,108,420000,,,272423,645,271483,295,,,205,21512,166754,41,234,330000,,,,,,,1950,,,12930,,,20543,1289878,40248,,,,,,92,,82,67,,,,234146,276000,190400,,,,,
2014,黑龙江省,佳木斯市,230000,230800,中部,东南侧,7659799,2490967,1747200,3422398,32.52,22.81,44.68,32864,241.4,,,241.7,,,,1.4,,,,18,220176,19390,2.09,4.76,10.92,12,27,61,2,0,2,1,2,1,0,1,0,1,0,0,0,0,0,2,1,0,3,,,,,,,,,17,686435,39518,32704,,,74,,,6.8,,,701.33,0.27,,603300,,414000,115500,56985,81100,363,352,2,9,6610636,6222497,6380,381759,,,,142442,294361,,,,2121897,2001472,21386,,,4831163,548408,295727,3612327,,1248109,51,43,,23000,,,420123,,1875138,3379,266619,7885461,10229208,7034328,3,114,209,15,1482,7825,9471,635,44716,8.92,9.76,36075,,,,17188,12853,185,71,,,,,,,,,15,471,20,,,,171,14204,5634,3016,411,2446,112,470000,,,5103,221,4548,334,,,205,26000,180000,39,238,330000,,,,,,,1122,,,11688,,,18282,1160382,40605,,,,,,92,,82,67,,,,230457,1078348,191000,,,,,
2015,黑龙江省,佳木斯市,230000,230800,中部,东南侧,8101676,2679224,1783179,3639273,33.07,22.01,44.92,35069,237.55,,,239.5,,,,-2.1,,,,18,222378,19161,2.12,4.81,11.08,12,27,62,2,0,2,1,2,1,0,1,0,1,0,0,0,0,0,2,1,0,3,,,,,,,,,18,778438,46978,32704,,,73,,,6.5,,,710.57,0.29,,367600,,424000,110800,57545,81700,357,345,3,9,5897642,5489387,17624,390631,,,,,163032,,,,1999590,2003785,,,,5338913,634117,399393,4011144,,1293709,52,43,,24000,,,359846,,2120733,9615,246833,12072021,11671147,8401702,5,111,191,15,1483,8075,8163,611,33834,8.6,9.7,,,,,13791,,142,58,,,,,,,,,,363,15,,,,175,13923,3903,,,2269,163,500000,,,,,4452,435,1041,,183,22491,189000,33,243,340000,,,,,,,672,,,10008,,,17343,1261846,16563,,,,,,100,,63,67,,,,235817,389248,132100,,,,,
2016,黑龙江省,佳木斯市,230000,230800,中部,东南侧,8450332,2639884,1815131,3995317,31.24,21.48,47.28,36878,238,,,238,,,,0.6,,,,17,224786,21800,2,3.87,10.76,12,23,65,2,0,1,1,2,1,0,1,0,1,0,0,0,0,0,2,1,0,3,,,,,,,,,16,804555,50020,32704,,,,461600,,6.4,,,673.49,2.62,,253400,,435100,109300,59021,84800,314,304,1,9,5357053,5002117,2484,352452,,,,66539,174988,,,,1908285,2153988,16741,,,5883482,526126,384991,4461506,,1448316,52,4,,1981,,,377667,,2362182,4281,243810,15080874,12717904,9221503,5,105,135,14,2436,7336,7657,607,31822,9,10,,,,,13836,,,,,,,,,,,,,363,,,,,185,14942,4096,,,2095,156,460000,,,,,4486,374,1080,,116,25117,118000,30,255,350000,,,,,,,463,,,10333,,,18354,1222735,8622,,,,,,100,,64,85,,,,247897,391084,136500,,,,,
